Atomic Number,Symbol,Period,Group,Electronegativity,Calculated Radius,First Ionization,Core Configuration,Heat of Vapor,Covalent Radius,Heat of Fusion,Bulk Modulus,Boiling Point,Brinell Hardness,Melting Point,STP Density,Young Modulus,Shear Modulus,Vickers Hardness,Name,Common Ions,Second Ionization,Mass,Van der Waals Radius,Specific Heat,Thermal Cond.,Third Ionization,Series,Electron Affinity,Mohs Hardness,Empirical Radius
65,Tb,6,3,Unknown,225,565.8,[Xe] 6s2 4f9,295,Unknown,10.8,38.7,3503,677,1629,8219,56,22,863,Terbium,NA,1110,158.9254,Unknown,182,11,2114,Lanthanoid,50,Unknown,175
66,Dy,6,3,1.22,228,573,[Xe] 6s2 4f10,280,Unknown,11.1,41,2840,500,1685,8551,61,25,540,Dysprosium,NA,1130,162.5,Unknown,167,11,2200,Lanthanoid,50,Unknown,175
67,Ho,6,3,1.23,226,581,[Xe] 6s2 4f11,265,Unknown,17,40,2973,746,1747,8795,65,26,481,Holmium,NA,1140,164.9303,Unknown,165,16,2204,Lanthanoid,50,Unknown,175
68,Er,6,3,1.24,226,589.3,[Xe] 6s2 4f12,285,Unknown,19.9,44,3141,814,1770,9066,70,28,589,Erbium,NA,1150,167.259,Unknown,168,15,2194,Lanthanoid,50,Unknown,175
69,Tm,6,3,1.25,222,596.7,[Xe] 6s2 4f13,250,Unknown,16.8,45,2223,471,1818,9321,74,31,520,Thulium,NA,1160,168.9342,Unknown,160,17,2285,Lanthanoid,50,Unknown,175
70,Yb,6,3,Unknown,222,603.4,[Xe] 6s2 4f14,160,Unknown,7.7,31,1469,343,1092,6570,24,9.9,206,Ytterbium,NA,1174.8,173.054,Unknown,154,39,2417,Lanthanoid,50,Unknown,175
71,Lu,6,3,1.27,217,523.5,[Xe] 6s2 4f14 5d1,415,160,22,48,3675,893,1936,9841,69,27,1160,Lutetium,NA,1340,174.9668,Unknown,154,16,2022.3,Lanthanoid,50,Unknown,175
72,Hf,6,4,1.3,208,658.5,[Xe] 6s2 4f14 5d2,630,150,25.5,110,4876,1700,2506,13310,78,30,1760,Hafnium,NA,1440,178.49,Unknown,144,23,2250,Transition Metal,0,5.5,155
73,Ta,6,5,1.5,200,761,[Xe] 6s2 4f14 5d3,735,138,36,200,5731,800,3290,16650,186,69,873,Tantalum,NA,1500,180.9479,Unknown,140,57,Unknown,Transition Metal,31,6.5,145
74,W,6,6,2.36,193,770,[Xe] 6s2 4f14 5d4,800,146,35,310,5828,2570,3695,19250,411,161,3430,Tungsten,NA,1700,183.84,Unknown,132,170,Unknown,Transition Metal,78.6,7.5,135
75,Re,6,7,1.9,188,760,[Xe] 6s2 4f14 5d5,705,159,33,370,5869,1320,3459,21020,463,178,2450,Rhenium,NA,1260,186.207,Unknown,137,48,2510,Transition Metal,14.5,7,135
76,Os,6,8,2.2,185,840,[Xe] 6s2 4f14 5d6,630,128,31,Unknown,5285,3920,3306,22610,Unknown,222,Unknown,Osmium,NA,1600,190.23,Unknown,130,88,Unknown,Transition Metal,106.1,7,130
77,Ir,6,9,2.2,180,880,[Xe] 6s2 4f14 5d7,560,137,26,320,4701,1670,2739,22650,528,210,1760,Iridium,NA,1600,192.217,Unknown,131,150,Unknown,Transition Metal,151,6.5,135
78,Pt,6,10,2.28,177,870,[Xe] 6s1 4f14 5d9,490,128,20,230,4098,392,2041.4,21090,168,61,549,Platinum,NA,1791,195.084,175,133,72,Unknown,Transition Metal,205.3,3.5,135
79,Au,6,11,2.54,174,890.1,[Xe] 6s1 4f14 5d10,330,144,12.5,220,3129,25,1337.33,19300,78,27,216,Gold,Au+,1980,196.9666,166,129.1,320,Unknown,Transition Metal,222.8,2.5,135
80,Hg,6,12,2,171,1007.1,[Xe] 6s2 4f14 5d10,59.2,149,2.29,25,629.88,Unknown,234.32,13534,Unknown,Unknown,Unknown,Mercury,Hgsub>2sub>2+,1810,200.59,155,139.5,8.3,3300,Transition Metal,0,Unknown,150
81,Tl,6,13,1.62,156,589.4,[Xe] 6s2 4f14 5d10 6p1,165,148,4.2,43,1746,26.4,577,11850,8,2.8,Unknown,Thallium,Tl+,1971,204.3833,196,129,46,2878,Post-Transition Metal,19.2,1.2,190
82,Pb,6,14,2.33,154,715.6,[Xe] 6s2 4f14 5d10 6p2,178,147,4.77,46,2022,38.3,600.61,11340,16,5.6,Unknown,Lead,Pb2+,1450.5,207.2,202,127,35,3081.5,Post-Transition Metal,35.1,1.5,180
83,Bi,6,15,2.02,143,703,[Xe] 6s2 4f14 5d10 6p3,160,146,10.9,31,1837,94.2,544.4,9780,32,12,Unknown,Bismuth,Bi3+,1610,208.9804,Unknown,122,8,2466,Post-Transition Metal,91.2,2.25,160
84,Po,6,16,2,135,812.1,[Xe] 6s2 4f14 5d10 6p4,100,Unknown,13,Unknown,1235,Unknown,527,9196,Unknown,Unknown,Unknown,Polonium,NA,Unknown,209,Unknown,Unknown,Unknown,Unknown,Metalloid,183.3,Unknown,190
